country,countryLabel,continentLabel,capitalLabel,area,gdp,gdpPerCapita,currencyLabel
http://www.wikidata.org/entity/Q30,США,Северная Америка,Вашингтон,9826675,28750956130000,,доллар США
http://www.wikidata.org/entity/Q148,Китай,Азия,Пекин,9596961,17963170521080,,китайский юань
http://www.wikidata.org/entity/Q17,Япония,Азия,Токио,377972.28,5005536736792,,японская иена
http://www.wikidata.org/entity/Q183,Германия,Европа,Берлин,357587.77,4121200000000,,евро
http://www.wikidata.org/entity/Q668,Индия,Азия,Нью-Дели,3287263,3385089881935,,индийская рупия
http://www.wikidata.org/entity/Q145,Великобритания,Европа,Лондон,242495,3070667732359,,фунт стерлингов
http://www.wikidata.org/entity/Q142,Франция,Европа,Париж,643801,2782905325625,,евро
http://www.wikidata.org/entity/Q159,Россия,Европа,Москва,17075400,2240422438363,,российский рубль
http://www.wikidata.org/entity/Q16,Канада,Северная Америка,Оттава,9984670,2206764000000,,канадский доллар
http://www.wikidata.org/entity/Q38,Италия,Европа,Рим,302068,2114355756914,,евро
http://www.wikidata.org/entity/Q155,Бразилия,Южная Америка,Бразилиа,8515767,1920095560995,,бразильский реал
http://www.wikidata.org/entity/Q884,Республика Корея,Азия,Сеул,100295,1810955871381,,южнокорейская вона
http://www.wikidata.org/entity/Q408,Австралия,Австралия и Океания,Канберра,7692024,1757022451653,54348.23,австралийский доллар
http://www.wikidata.org/entity/Q29,Испания,Европа,Мадрид,505990,1427380681295,29993.06,евро
http://www.wikidata.org/entity/Q96,Мексика,Северная Америка,Мехико,1972550,1414187193992,,мексиканское песо
http://www.wikidata.org/entity/Q252,Индонезия,Азия,Джакарта,1904570,1319100220389,,индонезийская рупия
http://www.wikidata.org/entity/Q851,Саудовская Аравия,Азия,Эр-Рияд,2250000,1108148978218,,саудовский риял
http://www.wikidata.org/entity/Q55,Нидерланды,Европа,Амстердам,37378,1011798853062,,евро
http://www.wikidata.org/entity/Q43,Турция,Азия,Анкара,783562,905987824096,,турецкая лира
http://www.wikidata.org/entity/Q29999,Королевство Нидерландов,Европа,Амстердам,42201,830572618850,,евро
http://www.wikidata.org/entity/Q39,Швейцария,Европа,Берн,41291,807706035352,,швейцарский франк
http://www.wikidata.org/entity/Q36,Польша,Европа,Варшава,312683,688176605955,,польский злотый
http://www.wikidata.org/entity/Q414,Аргентина,Южная Америка,Буэнос-Айрес,2780400,646075277525,,аргентинское песо
http://www.wikidata.org/entity/Q31,Бельгия,Европа,Брюссель,30688,644782756682,,евро
http://www.wikidata.org/entity/Q34,Швеция,Европа,Стокгольм,447425.16,636856236396,,шведская крона
http://www.wikidata.org/entity/Q20,Норвегия,Европа,Осло,385207,579267365866,,норвежская крона
http://www.wikidata.org/entity/Q27,Ирландия,Европа,Дублин,69797,529244870223,,евро
http://www.wikidata.org/entity/Q801,Израиль,Азия,Иерусалим,20770,520700000000,,новый израильский шекель
http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты,Азия,Абу-Даби,83600,514130432653,,дирхам ОАЭ
http://www.wikidata.org/entity/Q40,Австрия,Европа,Вена,83878.99,511685203845,,евро
http://www.wikidata.org/entity/Q869,Таиланд,Азия,Бангкок,513119.5,505568057004,,тайский бат
