country,countryLabel,continentLabel,capitalLabel,population,area,gdp,gdpPerCapitaCalculated,currencyLabel
http://www.wikidata.org/entity/Q30,США,Северная Америка,Вашингтон,340110988,9826675,28750956130000,84534.04078200496127458252,доллар США
http://www.wikidata.org/entity/Q148,Китай,Азия,Пекин,1404890000,9596961,17963170521080,12786.17580100933169144915,китайский юань
http://www.wikidata.org/entity/Q17,Япония,Азия,Токио,123802000,377972.28,5005536736792,40431.79219069158818112793,японская иена
http://www.wikidata.org/entity/Q183,Германия,Европа,Берлин,83577140,357587.77,4121200000000,49310.13432620450998921475,евро
http://www.wikidata.org/entity/Q668,Индия,Азия,Нью-Дели,1326093247,3287263,3385089881935,2552.67862165276526741863,индийская рупия
http://www.wikidata.org/entity/Q145,Великобритания,Европа,Лондон,67326569,242495,3070667732359,45608.55807696067209365741,фунт стерлингов
http://www.wikidata.org/entity/Q142,Франция,Европа,Париж,68605616,643801,2957879759264,43114.25116077960731378026,евро
http://www.wikidata.org/entity/Q142,Франция,Европа,Париж,68605616,643801,2957879759264,43114.25116077960731378026,французский тихоокеанский франк
http://www.wikidata.org/entity/Q159,Россия,Европа,Москва,146119928,17075400,2240422438363,15332.76445607747630425879,российский рубль
http://www.wikidata.org/entity/Q16,Канада,Северная Америка,Оттава,36991981,9984670,2206764000000,59655.19932549705840300902,канадский доллар
http://www.wikidata.org/entity/Q38,Италия,Европа,Рим,58850717,302068,2114355756914,35927.44259877071676119086,евро
http://www.wikidata.org/entity/Q155,Бразилия,Южная Америка,Бразилиа,213421037,8515767,1920095560995,8996.74928013305454981929,бразильский реал
http://www.wikidata.org/entity/Q884,Республика Корея,Азия,Сеул,51466201,100295,1810955871381,35187.28478484355198472877,южнокорейская вона
http://www.wikidata.org/entity/Q884,Республика Корея,Азия,Сеул,51466201,100295,1810955871381,35187.28478484355198472877,корейский мун
http://www.wikidata.org/entity/Q408,Австралия,Австралия и Океания,Канберра,27614411,7692024,1757022451653,63627.01169519784434294108,австралийский доллар
http://www.wikidata.org/entity/Q29,Испания,Европа,Мадрид,48592909,505990,1427380681295,29374.2587276468671591569,евро
http://www.wikidata.org/entity/Q96,Мексика,Северная Америка,Мехико,132274416,1964375,1414187193992,10691.31308046750325474882,мексиканское песо
http://www.wikidata.org/entity/Q96,Мексика,Северная Америка,Мехико,132274416,1972550,1414187193992,10691.31308046750325474882,мексиканское песо
http://www.wikidata.org/entity/Q252,Индонезия,Азия,Джакарта,275439000,1904570,1319100220389,4789.08295625891758247743,индонезийская рупия
http://www.wikidata.org/entity/Q851,Саудовская Аравия,Азия,Эр-Рияд,33000000,2250000,1108148978218,33580.27206721212121212121,саудовский риял
http://www.wikidata.org/entity/Q55,Нидерланды,Европа,Амстердам,17942942,37378,1011798853062,56389.79678260120330322642,евро
http://www.wikidata.org/entity/Q43,Турция,Азия,Анкара,85372377,783562,905987824096,10612.18928103641766938269,турецкая лира
http://www.wikidata.org/entity/Q29999,Королевство Нидерландов,Европа,Амстердам,17100715,42201,830572618850,48569.46734975701308395585,евро
http://www.wikidata.org/entity/Q29999,Королевство Нидерландов,Европа,Амстердам,17100715,42201,830572618850,48569.46734975701308395585,доллар США
http://www.wikidata.org/entity/Q29999,Королевство Нидерландов,Европа,Амстердам,17100715,42201,830572618850,48569.46734975701308395585,арубанский флорин
http://www.wikidata.org/entity/Q29999,Королевство Нидерландов,Европа,Амстердам,17100715,42201,830572618850,48569.46734975701308395585,Карибский гульден
http://www.wikidata.org/entity/Q39,Швейцария,Европа,Берн,9104063,41291,807706035352,88719.29328169192150801241,швейцарский франк
http://www.wikidata.org/entity/Q36,Польша,Европа,Варшава,37563071,312683,688176605955,18320.56292615159181207522,польский злотый
http://www.wikidata.org/entity/Q414,Аргентина,Южная Америка,Буэнос-Айрес,47327407,2780400,646075277525,13651.18688046864684557935,аргентинское песо
http://www.wikidata.org/entity/Q31,Бельгия,Европа,Брюссель,11825551,30688,644782756682,54524.54238132328886831573,евро
http://www.wikidata.org/entity/Q34,Швеция,Европа,Стокгольм,10609460,447425.16,636856236396,60027.20556899220129959489,шведская крона
http://www.wikidata.org/entity/Q20,Норвегия,Европа,Осло,5627400,385207,579267365866,102936.94527952518036748765,норвежская крона
http://www.wikidata.org/entity/Q27,Ирландия,Европа,Дублин,5149139,69797,529244870223,102783.17796878274212446003,евро
http://www.wikidata.org/entity/Q801,Израиль,Азия,Иерусалим,9840000,20770,520700000000,52916.66666666666666666667,новый израильский шекель
http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты,Азия,Абу-Даби,9890400,83600,514130432653,51982.77447352988756774246,дирхам ОАЭ
http://www.wikidata.org/entity/Q40,Австрия,Европа,Вена,8979894,83878.99,511685203845,56981.2075560134674195486,евро
http://www.wikidata.org/entity/Q869,Таиланд,Азия,Бангкок,66188503,513119.5,505568057004,7638.30626300764046589783,тайский бат
http://www.wikidata.org/entity/Q1033,Нигерия,Африка,Абуджа,211400708,923768,477386120636,2258.20492822568976448272,нигерийская найра
http://www.wikidata.org/entity/Q79,Египет,Африка,Каир,114535772,1010407.87,476747720365,4162.43512432954134189622,египетский фунт
http://www.wikidata.org/entity/Q334,Сингапур,Азия,Сингапур,5866139,719.1,466788539652,79573.38543324663803568241,сингапурский доллар
http://www.wikidata.org/entity/Q902,Бангладеш,Азия,Дакка,171466990,147570,460201000095,2683.90434855711877837244,бангладешская така
http://www.wikidata.org/entity/Q881,Вьетнам,Азия,Ханой,96208984,331690,408802379068,4249.10816091769558651612,вьетнамский донг
http://www.wikidata.org/entity/Q833,Малайзия,Азия,Куала-Лумпур,32447385,330803,406305924656,12521.99290192414581329127,малайзийский ринггит
http://www.wikidata.org/entity/Q258,ЮАР,Африка,Претория,62027503,1221037,405869718462,6543.38315798396720886862,южноафриканский рэнд
http://www.wikidata.org/entity/Q258,ЮАР,Африка,Кейптаун,62027503,1221037,405869718462,6543.38315798396720886862,южноафриканский рэнд
http://www.wikidata.org/entity/Q258,ЮАР,Африка,Блумфонтейн,62027503,1221037,405869718462,6543.38315798396720886862,южноафриканский рэнд
http://www.wikidata.org/entity/Q928,Филиппины,Азия,Манила,112729484,343448,404284327312,3586.32287638254425080133,филиппинское песо
http://www.wikidata.org/entity/Q35,Дания,Европа,Копенгаген,5822863,42925.46,398303272764,68403.33917593458750446301,датская крона
http://www.wikidata.org/entity/Q794,Иран,Азия,Тегеран,92417700,1648195,388544468140,4204.22135738067491400457,иранский риал
http://www.wikidata.org/entity/Q843,Пакистан,Азия,Исламабад,223773700,881913,376532751807,1682.64971177131182082613,пакистанская рупия
http://www.wikidata.org/entity/Q739,Колумбия,Южная Америка,Богота,52321152,1141748,343939445259,6573.62141527388387778618,колумбийское песо
http://www.wikidata.org/entity/Q298,Чили,Южная Америка,Сантьяго,19458000,756102,316713577509,16276.77960268270120259019,чилийское песо
http://www.wikidata.org/entity/Q218,Румыния,Европа,Бухарест,19053815,238397,301261582924,15811.08995358672265895308,румынский лей
http://www.wikidata.org/entity/Q33,Финляндия,Европа,Хельсинки,5652881,338478.34,296387625264,52431.25147407136290327003,евро
http://www.wikidata.org/entity/Q796,Ирак,Азия,Багдад,38274618,437072,264182173793,6902.28113558181037887824,иракский динар
http://www.wikidata.org/entity/Q664,Новая Зеландия,Австралия и Океания,Веллингтон,5307800,268021,255551704626,48146.44572628961151512868,новозеландский доллар
http://www.wikidata.org/entity/Q45,Португалия,Европа,Лиссабон,10347892,92225,253982847571,24544.40455804911763671287,евро
http://www.wikidata.org/entity/Q213,Чехия,Европа,Прага,10909500,78871,250681000000,22978.2299830423025803199,чешская крона
http://www.wikidata.org/entity/Q419,Перу,Южная Америка,Лима,33726000,1285216,242631549613,7194.19882621716183360019,перуанский новый соль
http://www.wikidata.org/entity/Q846,Катар,Азия,Доха,2639211,11437,237295575171,89911.55886020481121062317,катарский риал
http://www.wikidata.org/entity/Q232,Казахстан,Европа,Астана,20139914,2724900,220623001967,10954.51559361177013963416,казахстанский тенге
http://www.wikidata.org/entity/Q232,Казахстан,Азия,Астана,20139914,2724900,220623001967,10954.51559361177013963416,казахстанский тенге
http://www.wikidata.org/entity/Q41,Греция,Европа,Афины,10482487,131957,219065872466,20898.27275397527323430022,евро
http://www.wikidata.org/entity/Q212,Украина,Европа,Киев,41167335,603550,199765856765,4852.53312523144867162278,украинская гривна
http://www.wikidata.org/entity/Q262,Алжир,Африка,Алжир,46164219,2381741,191912889421,4157.17829908483884456055,алжирский динар
http://www.wikidata.org/entity/Q817,Кувейт,Азия,Эль-Кувейт,4464000,17818,184558274289,41343.6994375,кувейтский динар
http://www.wikidata.org/entity/Q28,Венгрия,Европа,Будапешт,9603634,93011.4,181848022230,18935.33450254351633975222,венгерский форинт
http://www.wikidata.org/entity/Q1028,Марокко,Африка,Рабат,36828330,446550,142866583125,3879.25771070803373381307,марокканский дирхам
http://www.wikidata.org/entity/Q916,Ангола,Африка,Луанда,36749906,1246700,135966802586,3699.78640451488501766508,ангольская кванза
http://www.wikidata.org/entity/Q115,Эфиопия,Африка,Аддис-Абеба,128691692,1104300,126783472501,985.17216248116467378485,эфиопский быр
http://www.wikidata.org/entity/Q214,Словакия,Европа,Братислава,5409407,49033.720839,118656591909,21935.2309613604596585171,евро
http://www.wikidata.org/entity/Q736,Эквадор,Южная Америка,Кито,16938986,257204.27,115049476000,6791.99309805203215824135,доллар США
http://www.wikidata.org/entity/Q842,Оман,Азия,Маскат,4829480,309500,114667360208,23743.21049222690641642578,оманский риал
http://www.wikidata.org/entity/Q786,Доминиканская Республика,Северная Америка,Санто-Доминго,10760028,48670.82,113641857434,10561.48343052638896478708,доминиканское песо
http://www.wikidata.org/entity/Q114,Кения,Африка,Найроби,48468138,581309,113420008179,2340.09419093013228608039,кенийский шиллинг
http://www.wikidata.org/entity/Q774,Гватемала,Северная Америка,Гватемала,17263239,108889,95003333381,5503.21601763145374978589,гватемальский кетсаль
http://www.wikidata.org/entity/Q219,Болгария,Европа,София,6437360,110993.6,89040398406,13831.81900748132774926367,евро
